2026-06-01 09:05:06,521 | fork_sync.py:84 | INFO | Uni-HubHacker | https://github.com/cloudskytian/Uni-HubHacker.git
2026-06-01 09:05:06,521 | fork_sync.py:86 | INFO | Uni-HubHacker | not starts with zzz_ , skip
2026-06-01 09:05:06,521 | fork_sync.py:84 | INFO | VBSKiller | https://github.com/cloudskytian/VBSKiller.git
2026-06-01 09:05:06,521 | fork_sync.py:86 | INFO | VBSKiller | not starts with zzz_ , skip
2026-06-01 09:05:06,521 | fork_sync.py:84 | INFO | Win10-Power-Plan-Settings | https://github.com/cloudskytian/Win10-Power-Plan-Settings.git
2026-06-01 09:05:06,521 | fork_sync.py:86 | INFO | Win10-Power-Plan-Settings | not starts with zzz_ , skip
2026-06-01 09:05:07,045 | fork_sync.py:84 | INFO | WinEU | https://github.com/cloudskytian/WinEU.git
2026-06-01 09:05:07,045 | fork_sync.py:86 | INFO | WinEU | not starts with zzz_ , skip
2026-06-01 09:05:07,045 | fork_sync.py:84 | INFO | WMPKeysEasy | https://github.com/cloudskytian/WMPKeysEasy.git
2026-06-01 09:05:07,045 | fork_sync.py:86 | INFO | WMPKeysEasy | not starts with zzz_ , skip
2026-06-01 09:05:07,045 | fork_sync.py:84 | INFO | zzz_AdGuardHomeForRoot | https://github.com/cloudskytian/zzz_AdGuardHomeForRoot.git
2026-06-01 09:05:07,728 | fork_sync.py:106 | INFO | zzz_AdGuardHomeForRoot | https://github.com/twoone-3/AdGuardHomeForRoot.git
2026-06-01 09:05:08,601 | fork_sync.py:84 | INFO | zzz_adobe-packager-windows | https://github.com/cloudskytian/zzz_adobe-packager-windows.git
2026-06-01 09:05:09,251 | fork_sync.py:106 | INFO | zzz_adobe-packager-windows | https://github.com/ckamte/adobe-packager-windows.git
2026-06-01 09:05:10,115 | fork_sync.py:84 | INFO | zzz_ALVR | https://github.com/cloudskytian/zzz_ALVR.git
2026-06-01 09:05:10,780 | fork_sync.py:106 | INFO | zzz_ALVR | https://github.com/alvr-org/ALVR.git
2026-06-01 09:05:11,655 | fork_sync.py:84 | INFO | zzz_AnyCheck | https://github.com/cloudskytian/zzz_AnyCheck.git
2026-06-01 09:05:12,388 | fork_sync.py:106 | INFO | zzz_AnyCheck | https://github.com/xingguangcuican6666/AnyCheck.git
2026-06-01 09:05:13,190 | fork_sync.py:84 | INFO | zzz_Apollo | https://github.com/cloudskytian/zzz_Apollo.git
2026-06-01 09:05:13,775 | fork_sync.py:106 | INFO | zzz_Apollo | https://github.com/ClassicOldSong/Apollo.git
2026-06-01 09:05:14,624 | fork_sync.py:84 | INFO | zzz_app | https://github.com/cloudskytian/zzz_app.git
2026-06-01 09:05:15,395 | fork_sync.py:106 | INFO | zzz_app | https://github.com/ovrport/app.git
2026-06-01 09:05:16,199 | fork_sync.py:84 | INFO | zzz_Artemis | https://github.com/cloudskytian/zzz_Artemis.git
2026-06-01 09:05:16,878 | fork_sync.py:106 | INFO | zzz_Artemis | https://github.com/ClassicOldSong/moonlight-android.git
2026-06-01 09:05:17,664 | fork_sync.py:84 | INFO | zzz_autoproxy | https://github.com/cloudskytian/zzz_autoproxy.git
2026-06-01 09:05:18,254 | fork_sync.py:106 | INFO | zzz_autoproxy | https://github.com/aglent/autoproxy.git
2026-06-01 09:05:19,072 | fork_sync.py:84 | INFO | zzz_Borderless-Gaming | https://github.com/cloudskytian/zzz_Borderless-Gaming.git
2026-06-01 09:05:19,706 | fork_sync.py:106 | INFO | zzz_Borderless-Gaming | https://github.com/andrewmd5/Borderless-Gaming.git
2026-06-01 09:05:20,524 | fork_sync.py:84 | INFO | zzz_build-your-own-x | https://github.com/cloudskytian/zzz_build-your-own-x.git
2026-06-01 09:05:21,281 | fork_sync.py:106 | INFO | zzz_build-your-own-x | https://github.com/codecrafters-io/build-your-own-x.git
2026-06-01 09:05:22,156 | fork_sync.py:84 | INFO | zzz_c001apk | https://github.com/cloudskytian/zzz_c001apk.git
2026-06-01 09:05:22,799 | fork_sync.py:106 | INFO | zzz_c001apk | https://github.com/bggRGjQaUbCoE/c001apk.git
2026-06-01 09:05:23,618 | fork_sync.py:84 | INFO | zzz_CapFrameX | https://github.com/cloudskytian/zzz_CapFrameX.git
2026-06-01 09:05:24,349 | fork_sync.py:106 | INFO | zzz_CapFrameX | https://github.com/CXWorld/CapFrameX.git
2026-06-01 09:05:25,124 | fork_sync.py:84 | INFO | zzz_cheat-engine | https://github.com/cloudskytian/zzz_cheat-engine.git
2026-06-01 09:05:25,822 | fork_sync.py:106 | INFO | zzz_cheat-engine | https://github.com/cheat-engine/cheat-engine.git
2026-06-01 09:05:26,593 | fork_sync.py:84 | INFO | zzz_chinese-copywriting-guidelines | https://github.com/cloudskytian/zzz_chinese-copywriting-guidelines.git
2026-06-01 09:05:27,183 | fork_sync.py:106 | INFO | zzz_chinese-copywriting-guidelines | https://github.com/sparanoid/chinese-copywriting-guidelines.git
2026-06-01 09:05:28,051 | fork_sync.py:84 | INFO | zzz_CJK-character-count | https://github.com/cloudskytian/zzz_CJK-character-count.git
2026-06-01 09:05:28,703 | fork_sync.py:106 | INFO | zzz_CJK-character-count | https://github.com/NightFurySL2001/CJK-character-count.git
2026-06-01 09:05:29,504 | fork_sync.py:84 | INFO | zzz_CreamInstaller | https://github.com/cloudskytian/zzz_CreamInstaller.git
2026-06-01 09:05:30,164 | fork_sync.py:106 | INFO | zzz_CreamInstaller | https://github.com/CyberSys/CreamInstaller.git
2026-06-01 09:05:30,164 | fork_sync.py:147 | INFO | zzz_CreamInstaller | sync description
2026-06-01 09:05:31,592 | fork_sync.py:84 | INFO | zzz_DeDRM_tools | https://github.com/cloudskytian/zzz_DeDRM_tools.git
2026-06-01 09:05:32,315 | fork_sync.py:106 | INFO | zzz_DeDRM_tools | https://github.com/noDRM/DeDRM_tools.git
2026-06-01 09:05:33,160 | fork_sync.py:84 | INFO | zzz_Ditto | https://github.com/cloudskytian/zzz_Ditto.git
2026-06-01 09:05:34,618 | fork_sync.py:106 | INFO | zzz_Ditto | https://github.com/sabrogden/Ditto.git
2026-06-01 09:05:35,387 | fork_sync.py:84 | INFO | zzz_dl-librescore | https://github.com/cloudskytian/zzz_dl-librescore.git
2026-06-01 09:05:36,041 | fork_sync.py:106 | INFO | zzz_dl-librescore | https://github.com/LibreScore/dl-librescore.git
2026-06-01 09:05:36,839 | fork_sync.py:84 | INFO | zzz_Duck-Detector-Refactoring | https://github.com/cloudskytian/zzz_Duck-Detector-Refactoring.git
2026-06-01 09:05:37,396 | fork_sync.py:106 | INFO | zzz_Duck-Detector-Refactoring | https://github.com/eltavine/Duck-Detector-Refactoring.git
2026-06-01 09:05:37,396 | fork_sync.py:124 | INFO | zzz_Duck-Detector-Refactoring | fork_branches != upstream_branches, resync
2026-06-01 09:05:37,396 | fork_sync.py:127 | INFO | zzz_Duck-Detector-Refactoring | disable github action
2026-06-01 09:05:37,772 | fork_sync.py:129 | INFO | zzz_Duck-Detector-Refactoring | clone from https://github.com/eltavine/Duck-Detector-Refactoring.git
2026-06-01 09:05:38,521 | fork_sync.py:137 | INFO | zzz_Duck-Detector-Refactoring | push to fork
2026-06-01 09:05:42,451 | fork_sync.py:180 | INFO | zzz_Duck-Detector-Refactoring | latest_release.body != upstream_latest_release.body, resync_latest_release
2026-06-01 09:05:42,883 | fork_sync.py:224 | INFO | zzz_Duck-Detector-Refactoring | release GitRelease(name="Nightly APK Build") exist, del
2026-06-01 09:05:44,339 | fork_sync.py:238 | INFO | zzz_Duck-Detector-Refactoring | create release
2026-06-01 09:05:45,835 | fork_sync.py:251 | INFO | zzz_Duck-Detector-Refactoring | downloading Duck.Detector-2026.06.01-6cb808e94746.apk
2026-06-01 09:05:46,214 | fork_sync.py:256 | INFO | zzz_Duck-Detector-Refactoring | uploading Duck.Detector-2026.06.01-6cb808e94746.apk
2026-06-01 09:05:48,047 | fork_sync.py:262 | INFO | zzz_Duck-Detector-Refactoring | resync_latest_release finish
2026-06-01 09:05:48,048 | fork_sync.py:84 | INFO | zzz_DWMBlurGlass | https://github.com/cloudskytian/zzz_DWMBlurGlass.git
2026-06-01 09:05:48,641 | fork_sync.py:106 | INFO | zzz_DWMBlurGlass | https://github.com/Maplespe/DWMBlurGlass.git
2026-06-01 09:05:49,426 | fork_sync.py:84 | INFO | zzz_EcoPaste | https://github.com/cloudskytian/zzz_EcoPaste.git
2026-06-01 09:05:50,221 | fork_sync.py:106 | INFO | zzz_EcoPaste | https://github.com/EcoPasteHub/EcoPaste.git
2026-06-01 09:05:50,221 | fork_sync.py:124 | INFO | zzz_EcoPaste | fork_branches != upstream_branches, resync
2026-06-01 09:05:50,221 | fork_sync.py:127 | INFO | zzz_EcoPaste | disable github action
2026-06-01 09:05:50,611 | fork_sync.py:129 | INFO | zzz_EcoPaste | clone from https://github.com/EcoPasteHub/EcoPaste.git
2026-06-01 09:05:51,758 | fork_sync.py:137 | INFO | zzz_EcoPaste | push to fork
2026-06-01 09:06:05,354 | fork_sync.py:84 | INFO | zzz_ecs | https://github.com/cloudskytian/zzz_ecs.git
2026-06-01 09:06:06,096 | fork_sync.py:106 | INFO | zzz_ecs | https://github.com/oneclickvirt/ecs.git
2026-06-01 09:06:06,096 | fork_sync.py:124 | INFO | zzz_ecs | fork_branches != upstream_branches, resync
2026-06-01 09:06:06,096 | fork_sync.py:127 | INFO | zzz_ecs | disable github action
2026-06-01 09:06:06,469 | fork_sync.py:129 | INFO | zzz_ecs | clone from https://github.com/oneclickvirt/ecs.git
2026-06-01 09:06:17,465 | fork_sync.py:137 | INFO | zzz_ecs | push to fork
